id	question	answer	category	imageUrls	createdBy	createdAt	updatedAt
1	入住需知？	"歡迎入住美樹大悅社區。
請確保您已簽署住戶管理規約，並完成以下步驟：
1. 填寫住戶入住表格。
2. 設定開通智生活。
3. 了解社區設施使用規則。
4. 熟悉垃圾分類和回收規定。
5.辦理車位車號登記與申辦etag。
6. 請詳閱規約。
如有任何疑問，請洽詢管理室。

"	moving-in			2026-06-30T04:42:45	2026-07-10T08:18:54
2	社區的機車位是固定的嗎？要怎麼申請？	"機車位不是固定分配的，而是採用抽籤制度。
每年進行一次抽籤，九月份公告後由區權人前來櫃檯抽籤，
不克前來的住戶請填具委託書可指定代抽。
期限到未來抽籤的機車位置將由委員代為抽籤後公佈。

機車車位清潔費將隨九月份管理費一起繳納。"	parking			2026-06-30T04:42:45	2026-06-30T08:01:52
3	汽車位可以停放機車，或是堆放私人物品（如腳踏車、雜物）嗎？	"汽車位僅供停放汽車使用，可停放一輛機車，但不可超出停車格範圍。不得堆放任何私人物品。
違反規定者將被罰款新台幣500元，並需立即清除。
請注意：電動腳踏車（無牌照者）或自行車不得停放汽車位，請使用指定的機車位或腳踏車停放區。"	parking			2026-06-30T04:42:46	2026-06-30T08:07:32
4	我的汽車要申辦車道進出的 eTag 車貼，該如何辦理？費用與流程是什麼？	"申辦流程：1. 準備汽車行照和戶號。
2. 至管理室填寫申請表。
3. 繳交申辦費新台幣300元。

製作時間約一週，製作完成會用智生活通知您到櫃檯領取。"	parking			2026-06-30T04:42:46	2026-06-30T08:08:24
5	我的電動自行車可以放在汽車位嗎？	"不可以。電動自行車（無牌照）只能停放您自己的機車格。
禁止在汽車位、樓梯間或公共走道停放電動自行車，違者將被罰款。"	parking			2026-06-30T04:42:47	2026-06-30T08:09:17
6	租借汽、機車位需要注意什麼？	"1. 簽署租賃合約。
2. 按時繳納租金。
3. 不得轉租他人。
4. 保持車位清潔。
5. 違反規定將被終止租賃
6. 退租時需提前30天通知。
7.請務必不要停錯車位，造成別的住戶不便，也會被開罰。"	parking			2026-06-30T04:42:47	2026-06-30T08:10:59
7	如果家裡磁扣不夠用或遺失，可以自行去外面複製嗎？申請新磁扣有什麼規定與費用？	"禁止自行複製磁扣。
如需申請新磁扣，請至管理室填寫申請表，費用為新台幣150元/個。
申請時需區權人同意。
新磁扣將在7個工作天內製作完成。

完成會以智生活通知您前來櫃檯領取。"	access			2026-06-30T04:42:47	2026-06-30T08:12:24
8	叫熊貓（Foodpanda）或 Uber Eats 外送，外送員可以送上樓嗎？	"外送員需在大廳等候，或放置於大門外外送桌，住戶應主動下樓領取。
為安全起見，外送員不得進入電梯或樓層。
如有特殊情況（如行動不便），請提前洽詢管理室。"	access			2026-06-30T04:42:47	2026-06-30T08:13:12
9	如果因為疾病導致行動不方便下樓，可以請保全幫忙將外送拿上樓嗎？	可以。請提前致電管理室說明情況，並提供醫療證明。保全將協助將外送送至住戶家門口。此服務僅限特殊情況，不得濫用。	access			2026-06-30T04:42:48	2026-06-30T04:42:48
10	朋友來訪或有廠商要來修繕，可以請保全協助感應電梯上樓，或是寄放磁扣在大廳嗎？	"訪客來訪請住戶前往大廳接待，委員會公告禁止保全代為感應上樓。
如需寄放磁扣，請填寫寄放單，並在訪客離開後立即取回。"	access			2026-06-30T04:42:48	2026-06-30T08:15:20
11	掛號信、一般網購包裹或寄放物品，管理室可以代收嗎？滯留會有費用嗎？	"可以代收。
掛號信和一般包裹可免費代收，滯留期限為7天。
超過7天未領取的包裹，管理室將收取逾期費用。
寄放物品需填寫寄放單，保管期限同包裹。"	packages			2026-06-30T04:42:48	2026-06-30T08:17:02
12	如果是「貨到付款」的包裹，管理室可以幫忙墊錢代收嗎？	"不可以。
貨到付款的包裹需由住戶本人簽收並付款，或者提前將費用寄存櫃檯供貨運人員收取。
管理室不提供墊款服務。
您也可以善用7-11或者蝦皮店到店貨到付款。"	packages			2026-06-30T04:42:48	2026-06-30T08:19:11
13	我可以將團購商品寄存管理室讓其他人領取，並請管理室代為收款嗎？	不可以。管理室不提供代收款服務。團購商品可寄存，但需由購買者自行領取。如涉及金錢交易，建議自行處理。	packages			2026-06-30T04:42:49	2026-06-30T04:42:49
14	有生鮮低溫包裹，管理室可以代收嗎？滯留會有費用嗎？	"可以代收。管理室備有冷藏冷凍設備（以現場冰箱空間為主）若空間不夠無法代為冰存，
則由快遞聯繫住戶收取。

超過三天將收取滯留費用，冷凍一天80元，冷藏一天50元。"	packages			2026-06-30T04:42:49	2026-06-30T08:21:41
